Time,Residualload2023,Residualload2033,Residualload2030
28962000,24553.46293,14074.20419,5.724
28962900,24241.3323,13837.06483,7.35425
28963800,23933.07046,13603.79425,8.9845
28964700,23725.0653,13470.78034,10.61475
28965600,23713.92579,13534.63209,12.245
28966500,23962.09406,13805.80854,13.864
28967400,24442.94183,14309.6645,15.483
28968300,25095.78452,14985.51538,17.102
28969200,25859.93755,15772.6766,18.721
28970100,26573.38163,16476.28581,19.867
28971000,27341.65186,17234.72116,21.013
28971900,28168.94862,18052.18305,22.159
28972800,29059.47231,18932.87186,23.305
28973700,29758.40924,19582.36496,23.3085
28974600,30464.86266,20239.37454,23.312
28975500,31118.8112,20843.87924,23.3155
28976400,31660.45458,21336.07878,23.319
28977300,31059.72393,20646.35416,22.84725
28978200,30384.60216,19882.23843,22.3755
28979100,29733.24575,19141.88807,21.90375
28980000,29203.36905,18523.0174,21.432
28980900,30316.68508,19834.16514,21.0145
28981800,31496.87573,21212.18751,20.597
28982700,32590.84786,22503.99134,20.1795
28983600,33445.95043,23556.92563,19.762
28984500,34167.37577,24539.08375,19.62475
28985400,34575.98258,25208.42335,19.4875
28986300,34751.02559,25644.19916,19.35025
28987200,34771.3174,25925.22375,19.213
28988100,34857.33492,26237.90844,19.55975
28989000,34896.3744,26503.61507,19.9065
28989900,34916.84373,26750.75157,20.25325
28990800,34947.3719,27007.94689,20.6
28991700,35469.57132,27886.49517,22.5175
28992600,36048.69707,28821.9698,24.435
28993500,36703.31932,29832.94091,26.3525
28994400,37451.56604,30937.5365,28.27
28995300,38051.60041,31828.77511,29.8955
28996200,38761.50815,32829.88707,31.521
28997100,39579.18904,33938.77221,33.1465
28998000,40502.32184,35153.10924,34.772
28998900,42104.82429,36962.66453,38.37325
28999800,43850.69269,38915.58577,41.9745
29000700,45779.94127,41051.8872,45.57575
29001600,47932.36322,43411.36198,49.177
29002500,48955.17124,44375.23702,51.5455
29003400,50073.92502,45435.05782,53.914
29004300,51121.27217,46423.47199,56.2825
29005200,51929.8603,47173.12714,58.651
29006100,52052.35674,46980.14236,58.903
29007000,51854.51816,46466.82257,59.155
29007900,51422.01043,45718.83361,59.407
29008800,50840.49938,44821.84135,59.659
29009700,50513.78748,44322.18421,59.3385
29010600,50101.29919,43736.75068,59.018
29011500,49580.26397,43042.77023,58.6975
29012400,48928.13237,42217.6934,58.377
29013300,48412.60701,41701.75046,57.48425
29014200,47808.65237,41097.37825,56.5915
29015100,47181.48506,40469.79337,55.69875
29016000,46596.32164,39884.21238,54.806
29016900,46048.07178,39447.91102,53.72925
29017800,45640.53499,39152.32273,52.6525
29018700,45407.53546,39031.27171,51.57575
29019600,45382.45524,39118.13999,50.499
29020500,45454.61345,39236.02793,49.50225
29021400,45598.84152,39425.98572,48.5055
29022300,45645.35525,39518.22918,47.50875
29023200,45424.59152,39343.19518,46.512
29024100,44988.07668,38939.24396,44.7645
29025000,44249.02322,38232.75412,43.017
29025900,43341.62254,37357.91707,41.2695
29026800,42400.28714,36449.14528,39.522
29027700,41217.98177,35148.61516,37.83675
29028600,40137.48059,33949.88924,36.1515
29029500,39160.33112,32854.51502,34.46625
29030400,38288.08086,31864.04001,32.781
29031300,37847.38872,31466.24562,31.48425
29032200,37508.83238,31170.58703,30.1875
29033100,37268.21145,30972.86386,28.89075
29034000,37121.10448,30868.65463,27.594
29034900,36820.81274,30472.83986,26.091
29035800,36602.64969,30159.15378,24.588
29036700,36459.54097,29920.52204,23.085
29037600,36384.19118,29749.64922,21.582
29038500,36084.42467,29233.44942,19.9575
29039400,35848.76938,28781.36084,18.333
29040300,35680.65195,28396.81012,16.7085
29041200,35583.499,28083.22388,15.084
29042100,36018.27604,28618.87297,13.58525
29043000,36531.09191,29232.5609,12.0865
29043900,37125.2627,29927.60374,10.58775
29044800,37804.54666,30707.75976,9.089
29045700,38627.57823,31652.3546,7.58275
29046600,39673.11993,32819.45957,6.0765
29047500,41075.03158,34342.93448,4.57025
29048400,42967.39403,36356.86021,3.064
29049300,45294.43587,38750.12209,1.4225
29050200,48043.17476,41565.08102,-0.219
29051100,51010.66554,44598.79185,-1.8605
29052000,53994.18413,47648.53048,-3.502
29052900,56494.17578,50054.31869,-4.272
29053800,58709.31466,52175.25413,-5.042
29054700,60541.44429,53913.18031,-5.812
29055600,61892.40818,55169.94076,-6.582
29056500,62429.40879,55428.17771,-7.36525
29057400,62508.3458,55228.35107,-8.1485
29058300,62250.36732,54691.60892,-8.93175
29059200,61776.62143,53939.09937,-9.715
29060100,60570.72257,52272.69306,-11.226
29061000,59325.47268,50566.93573,-12.737
29061900,58096.47167,48877.42728,-14.248
